id,question_piece_id_list,opening_time,status,created_at,user_id
99817,"[998458, 998459, 998460, 998461, 998462, 998463, 998464, 998465, 998466, 998467]","2023-04-28 12:27:22",F,"2023-04-28 12:27:23",849436
99830,"[998588, 998589, 998590, 998591, 998592, 998593, 998594, 998595, 998596, 998597]","2023-04-28 12:28:07",F,"2023-04-28 12:28:07",849438
99840,"[998689, 998691, 998693, 998695, 998697, 998699, 998700, 998702, 998704, 998706]","2023-04-28 12:28:38",F,"2023-04-28 12:28:38",847375
99841,"[998688, 998690, 998692, 998694, 998696, 998698, 998701, 998703, 998705, 998707]","2023-04-28 12:28:38",F,"2023-04-28 12:28:38",849446
99848,"[998768, 998769, 998770, 998771, 998772, 998773, 998774, 998775, 998776, 998777]","2023-04-28 12:28:57",F,"2023-04-28 12:28:57",849477
99852,"[998808, 998809, 998810, 998811, 998813, 998814, 998816, 998818, 998820, 998821]","2023-04-28 12:29:04",F,"2023-04-28 12:29:04",849469
99854,"[998828, 998829, 998830, 998831, 998832, 998833, 998834, 998835, 998836, 998837]","2023-04-28 12:29:05",F,"2023-04-28 12:29:05",849682
99863,"[998918, 998919, 998920, 998921, 998922, 998923, 998924, 998925, 998926, 998927]","2023-04-28 12:32:16",F,"2023-04-28 12:29:34",849436
99865,"[998938, 998939, 998940, 998941, 998942, 998943, 998944, 998945, 998946, 998947]","2023-04-28 12:29:40",F,"2023-04-28 12:29:40",849479
99866,"[998948, 998949, 998950, 998951, 998952, 998953, 998954, 998955, 998956, 998957]","2023-04-28 12:29:43",F,"2023-04-28 12:29:43",849441
99872,"[999008, 999009, 999010, 999011, 999012, 999013, 999014, 999015, 999016, 999017]","2023-04-28 12:30:14",F,"2023-04-28 12:30:14",849475
99877,"[999058, 999059, 999060, 999061, 999062, 999063, 999064, 999065, 999066, 999067]","2023-04-28 12:30:30",F,"2023-04-28 12:30:30",849452
99880,"[999088, 999089, 999090, 999091, 999092, 999093, 999094, 999095, 999096, 999097]","2023-04-28 13:20:35",F,"2023-04-28 12:30:35",847375
99884,"[999128, 999129, 999130, 999131, 999132, 999133, 999134, 999135, 999136, 999137]","2023-04-28 12:30:52",F,"2023-04-28 12:30:52",849634
99886,"[999148, 999149, 999150, 999151, 999152, 999153, 999154, 999155, 999156, 999157]","2023-04-28 12:31:01",F,"2023-04-28 12:31:01",849623
99891,"[999198, 999199, 999200, 999201, 999202, 999203, 999204, 999205, 999206, 999207]","2023-04-28 12:31:09",F,"2023-04-28 12:31:09",849439
99892,"[999208, 999209, 999210, 999211, 999212, 999213, 999214, 999215, 999216, 999217]","2023-04-28 13:21:10",F,"2023-04-28 12:31:10",849479
99897,"[999258, 999259, 999260, 999261, 999262, 999263, 999264, 999265, 999266, 999267]","2023-04-28 13:21:19",F,"2023-04-28 12:31:19",849438
99899,"[999278, 999279, 999280, 999281, 999282, 999283, 999284, 999285, 999286, 999287]","2023-04-28 12:31:24",F,"2023-04-28 12:31:24",849464
99904,"[999328, 999329, 999330, 999331, 999332, 999333, 999334, 999335, 999336, 999337]","2023-04-28 12:31:33",F,"2023-04-28 12:31:33",849670
99914,"[999428, 999429, 999430, 999431, 999432, 999433, 999434, 999435, 999436, 999437]","2023-04-28 13:21:44",F,"2023-04-28 12:31:44",849452
99915,"[999438, 999439, 999440, 999441, 999442, 999443, 999444, 999445, 999446, 999447]","2023-04-28 12:31:51",F,"2023-04-28 12:31:51",849493
99916,"[999448, 999449, 999450, 999451, 999452, 999453, 999454, 999455, 999456, 999457]","2023-04-28 12:31:51",F,"2023-04-28 12:31:52",849692
99917,"[999458, 999459, 999460, 999461, 999462, 999463, 999464, 999465, 999466, 999467]","2023-04-28 12:31:52",F,"2023-04-28 12:31:52",849489
99920,"[999488, 999489, 999490, 999491, 999492, 999493, 999494, 999495, 999496, 999497]","2023-04-28 12:31:58",F,"2023-04-28 12:31:58",849445
99931,"[999598, 999599, 999600, 999601, 999602, 999603, 999604, 999605, 999606, 999607]","2023-04-28 12:32:18",F,"2023-04-28 12:32:18",849487
99938,"[999668, 999669, 999670, 999671, 999672, 999673, 999674, 999675, 999676, 999677]","2023-04-28 13:22:36",F,"2023-04-28 12:32:36",849489
99939,"[999678, 999679, 999680, 999681, 999682, 999683, 999684, 999685, 999686, 999687]","2023-04-28 12:32:39",F,"2023-04-28 12:32:39",849566
99941,"[999698, 999699, 999700, 999701, 999702, 999703, 999704, 999705, 999706, 999707]","2023-04-28 12:32:46",F,"2023-04-28 12:32:46",849762
99956,"[999848, 999849, 999850, 999851, 999852, 999853, 999854, 999855, 999856, 999857]","2023-04-28 13:23:09",F,"2023-04-28 12:33:09",849692
99973,"[1000018, 1000019, 1000020, 1000021, 1000022, 1000023, 1000024, 1000025, 1000026, 1000027]","2023-04-28 12:33:34",F,"2023-04-28 12:33:34",849559
99974,"[1000028, 1000029, 1000030, 1000031, 1000032, 1000033, 1000034, 1000035, 1000036, 1000037]","2023-04-28 12:33:35",F,"2023-04-28 12:33:36",849864
99977,"[1000058, 1000059, 1000060, 1000061, 1000062, 1000063, 1000064, 1000065, 1000066, 1000067]","2023-04-28 13:23:37",F,"2023-04-28 12:33:37",849634
99978,"[1000068, 1000069, 1000070, 1000071, 1000072, 1000073, 1000074, 1000075, 1000076, 1000077]","2023-04-28 12:33:38",F,"2023-04-28 12:33:38",849466
99983,"[1000118, 1000119, 1000120, 1000121, 1000122, 1000123, 1000124, 1000125, 1000126, 1000127]","2023-04-28 13:23:42",F,"2023-04-28 12:33:42",849439
99987,"[1000158, 1000159, 1000160, 1000161, 1000162, 1000163, 1000164, 1000165, 1000166, 1000167]","2023-04-28 13:23:51",F,"2023-04-28 12:33:51",849487
99999,"[1000278, 1000279, 1000280, 1000281, 1000282, 1000283, 1000284, 1000285, 1000286, 1000287]","2023-04-28 13:24:15",F,"2023-04-28 12:34:15",849670
100030,"[1000588, 1000589, 1000590, 1000591, 1000592, 1000593, 1000594, 1000595, 1000596, 1000597]","2023-04-28 13:24:45",F,"2023-04-28 12:34:45",849477
100038,"[1000668, 1000669, 1000670, 1000671, 1000672, 1000673, 1000674, 1000675, 1000676, 1000677]","2023-04-28 12:34:50",F,"2023-04-28 12:34:50",849454
100054,"[1000828, 1000829, 1000830, 1000831, 1000832, 1000833, 1000834, 1000835, 1000836, 1000839]","2023-04-28 13:05:23",F,"2023-04-28 12:35:14",849445
100058,"[1000868, 1000869, 1000870, 1000871, 1000872, 1000873, 1000874, 1000875, 1000876, 1000877]","2023-04-28 13:25:15",F,"2023-04-28 12:35:15",849864
100063,"[1000918, 1000919, 1000920, 1000921, 1000922, 1000923, 1000924, 1000925, 1000926, 1000927]","2023-04-28 13:25:19",F,"2023-04-28 12:35:19",849441
100069,"[1000978, 1000979, 1000980, 1000981, 1000982, 1000983, 1000984, 1000985, 1000986, 1000987]","2023-04-28 13:25:24",F,"2023-04-28 12:35:24",849436
100076,"[1001048, 1001049, 1001050, 1001051, 1001052, 1001053, 1001054, 1001055, 1001056, 1001057]","2023-04-28 13:25:34",F,"2023-04-28 12:35:34",849469
100085,"[1001138, 1001139, 1001140, 1001141, 1001142, 1001143, 1001144, 1001145, 1001146, 1001147]","2023-04-28 12:35:45",F,"2023-04-28 12:35:45",849504
100101,"[1001298, 1001299, 1001300, 1001301, 1001302, 1001303, 1001304, 1001305, 1001306, 1001307]","2023-04-28 13:26:03",F,"2023-04-28 12:36:03",849559
100132,"[1001608, 1001609, 1001610, 1001611, 1001612, 1001613, 1001614, 1001615, 1001616, 1001617]","2023-04-28 13:26:53",F,"2023-04-28 12:36:53",849762
100144,"[1001728, 1001729, 1001730, 1001731, 1001732, 1001733, 1001734, 1001735, 1001736, 1001737]","2023-04-28 13:27:10",F,"2023-04-28 12:37:10",849446
100150,"[1001788, 1001789, 1001790, 1001791, 1001792, 1001793, 1001794, 1001795, 1001796, 1001797]","2023-04-28 13:27:24",F,"2023-04-28 12:37:24",849504
100184,"[1002128, 1002129, 1002130, 1002131, 1002132, 1002133, 1002134, 1002135, 1002136, 1002137]","2023-04-28 13:28:36",F,"2023-04-28 12:38:36",849454
100221,"[1002498, 1002499, 1002500, 1002501, 1002502, 1002503, 1002504, 1002505, 1002506, 1002507]","2023-04-28 12:39:59",F,"2023-04-28 12:39:59",849444
100234,"[1002628, 1002629, 1002630, 1002631, 1002632, 1002633, 1002634, 1002635, 1002636, 1002637]","2023-04-28 12:40:33",F,"2023-04-28 12:40:33",849503
100271,"[1002998, 1002999, 1003000, 1003001, 1003002, 1003003, 1003004, 1003005, 1003006, 1003007]","2023-04-28 12:41:46",F,"2023-04-28 12:41:46",849471
100301,"[1003298, 1003299, 1003300, 1003301, 1003302, 1003303, 1003304, 1003305, 1003306, 1003307]","2023-04-28 13:32:46",F,"2023-04-28 12:42:47",849566
100306,"[1003348, 1003349, 1003350, 1003351, 1003352, 1003353, 1003354, 1003355, 1003356, 1003357]","2023-04-28 13:32:55",F,"2023-04-28 12:42:55",849503
100320,"[1003488, 1003489, 1003490, 1003491, 1003492, 1003493, 1003494, 1003495, 1003496, 1003497]","2023-04-28 12:43:35",F,"2023-04-28 12:43:35",849443
100330,"[1003588, 1003589, 1003590, 1003591, 1003592, 1003593, 1003594, 1003595, 1003596, 1003597]","2023-04-28 13:53:07",F,"2023-04-28 12:44:06",849471
100344,"[1003728, 1003729, 1003730, 1003731, 1003732, 1003733, 1003734, 1003735, 1003736, 1003737]","2023-04-28 13:34:43",F,"2023-04-28 12:44:43",849493
100356,"[1003848, 1003849, 1003850, 1003851, 1003852, 1003853, 1003854, 1003855, 1003856, 1003857]","2023-04-28 12:45:21",F,"2023-04-28 12:45:21",849558
100375,"[1004038, 1004039, 1004040, 1004041, 1004042, 1004043, 1004044, 1004045, 1004046, 1004047]","2023-04-28 13:36:43",F,"2023-04-28 12:46:44",849558
100395,"[1004238, 1004239, 1004240, 1004241, 1004242, 1004243, 1004244, 1004245, 1004246, 1004247]","2023-04-28 12:47:25",F,"2023-04-28 12:47:25",849512
100411,"[1004398, 1004399, 1004400, 1004401, 1004402, 1004403, 1004404, 1004405, 1004406, 1004407]","2023-04-28 13:38:20",F,"2023-04-28 12:48:20",849475
100412,"[1004408, 1004409, 1004410, 1004411, 1004412, 1004413, 1004414, 1004415, 1004416, 1004417]","2023-04-28 12:48:20",F,"2023-04-28 12:48:20",849502
100426,"[1004548, 1004549, 1004550, 1004551, 1004552, 1004553, 1004554, 1004555, 1004556, 1004557]","2023-04-28 12:48:57",F,"2023-04-28 12:48:58",849620
100434,"[1004628, 1004629, 1004630, 1004631, 1004632, 1004633, 1004634, 1004635, 1004636, 1004637]","2023-04-28 12:49:15",F,"2023-04-28 12:49:15",849455
100444,"[1004727, 1004729, 1004730, 1004731, 1004732, 1004733, 1004734, 1004735, 1004736, 1004737]","2023-04-28 13:39:40",F,"2023-04-28 12:49:40",849512
100459,"[1004878, 1004879, 1004880, 1004881, 1004882, 1004883, 1004884, 1004885, 1004886, 1004887]","2023-04-28 12:50:24",F,"2023-04-28 12:50:24",849497
100468,"[1004968, 1004969, 1004970, 1004971, 1004972, 1004973, 1004974, 1004975, 1004976, 1004977]","2023-04-28 13:41:05",F,"2023-04-28 12:51:05",849620
100496,"[1005248, 1005249, 1005250, 1005251, 1005252, 1005253, 1005254, 1005255, 1005256, 1005257]","2023-04-28 13:42:21",F,"2023-04-28 12:52:21",849443
100517,"[1005458, 1005459, 1005460, 1005461, 1005462, 1005463, 1005464, 1005465, 1005466, 1005467]","2023-04-28 12:53:19",F,"2023-04-28 12:53:19",849922
100521,"[1005498, 1005499, 1005500, 1005501, 1005502, 1005503, 1005504, 1005505, 1005506, 1005507]","2023-04-28 12:53:24",F,"2023-04-28 12:53:24",849442
100539,"[1005678, 1005679, 1005680, 1005681, 1005682, 1005683, 1005684, 1005685, 1005686, 1005687]","2023-04-28 12:54:07",F,"2023-04-28 12:54:07",849543
100566,"[1005948, 1005949, 1005950, 1005951, 1005952, 1005953, 1005954, 1005955, 1005956, 1005957]","2023-04-28 12:55:11",F,"2023-04-28 12:55:11",849490
100571,"[1005998, 1005999, 1006000, 1006001, 1006002, 1006003, 1006004, 1006005, 1006006, 1006007]","2023-04-28 13:45:17",F,"2023-04-28 12:55:17",849444
100582,"[1006108, 1006109, 1006110, 1006111, 1006112, 1006113, 1006114, 1006115, 1006116, 1006117]","2023-04-28 13:45:42",F,"2023-04-28 12:55:42",849466
100592,"[1006208, 1006209, 1006210, 1006211, 1006212, 1006213, 1006214, 1006215, 1006216, 1006217]","2023-04-28 13:46:10",F,"2023-04-28 12:56:10",849922
100608,"[1006368, 1006369, 1006370, 1006371, 1006372, 1006373, 1006374, 1006375, 1006376, 1006377]","2023-04-28 12:57:15",F,"2023-04-28 12:57:15",849928
100624,"[1006528, 1006529, 1006530, 1006531, 1006532, 1006533, 1006534, 1006535, 1006536, 1006537]","2023-04-28 12:58:02",F,"2023-04-28 12:58:02",849450
100625,"[1006538, 1006539, 1006540, 1006541, 1006542, 1006543, 1006544, 1006545, 1006546, 1006547]","2023-04-28 13:53:07",F,"2023-04-28 12:58:02",849543
100637,"[1006658, 1006659, 1006660, 1006661, 1006662, 1006663, 1006664, 1006665, 1006666, 1006667]","2023-04-28 12:58:39",F,"2023-04-28 12:58:40",849938
100641,"[1006698, 1006699, 1006700, 1006701, 1006702, 1006703, 1006704, 1006705, 1006706, 1006707]","2023-04-28 13:48:50",F,"2023-04-28 12:58:50",849442
100644,"[1006728, 1006729, 1006730, 1006731, 1006732, 1006733, 1006734, 1006735, 1006736, 1006737]","2023-04-28 12:58:55",F,"2023-04-28 12:58:55",849451
100659,"[1006878, 1006879, 1006880, 1006881, 1006882, 1006883, 1006884, 1006885, 1006886, 1006887]","2023-04-28 13:49:51",F,"2023-04-28 12:59:52",849464
100660,"[1006888, 1006889, 1006890, 1006891, 1006892, 1006893, 1006894, 1006895, 1006896, 1006897]","2023-04-28 13:00:00",F,"2023-04-28 13:00:00",849488
100665,"[1006938, 1006939, 1006940, 1006941, 1006942, 1006943, 1006944, 1006945, 1006946, 1006947]","2023-04-28 13:00:12",F,"2023-04-28 13:00:12",849103
100673,"[1007018, 1007019, 1007020, 1007021, 1007022, 1007023, 1007024, 1007025, 1007026, 1007027]","2023-04-28 13:50:38",F,"2023-04-28 13:00:38",849450
100677,"[1007058, 1007059, 1007060, 1007061, 1007062, 1007063, 1007064, 1007065, 1007066, 1007067]","2023-04-28 13:00:56",F,"2023-04-28 13:00:56",849946
100704,"[1007328, 1007329, 1007330, 1007331, 1007332, 1007333, 1007334, 1007335, 1007336, 1007337]","2023-04-28 13:52:08",F,"2023-04-28 13:02:08",849103
100735,"[1007638, 1007639, 1007640, 1007641, 1007642, 1007643, 1007644, 1007645, 1007646, 1007647]","2023-04-28 13:03:28",F,"2023-04-28 13:03:28",849963
100778,"[1008068, 1008069, 1008070, 1008071, 1008072, 1008073, 1008074, 1008075, 1008076, 1008077]","2023-04-28 13:05:54",F,"2023-04-28 13:05:54",849981
100787,"[1008158, 1008159, 1008160, 1008161, 1008162, 1008163, 1008164, 1008165, 1008166, 1008167]","2023-04-28 13:06:07",F,"2023-04-28 13:06:08",849983
100802,"[1008308, 1008309, 1008310, 1008311, 1008312, 1008313, 1008314, 1008315, 1008316, 1008317]","2023-04-28 13:56:55",F,"2023-04-28 13:06:55",849981
100819,"[1008478, 1008479, 1008480, 1008481, 1008482, 1008483, 1008484, 1008485, 1008486, 1008487]","2023-04-28 13:07:45",F,"2023-04-28 13:07:45",849974
100844,"[1008728, 1008729, 1008730, 1008731, 1008732, 1008733, 1008734, 1008735, 1008736, 1008737]","2023-04-28 13:58:46",F,"2023-04-28 13:08:46",849983
100846,"[1008748, 1008749, 1008750, 1008751, 1008752, 1008753, 1008754, 1008755, 1008756, 1008757]","2023-04-28 13:08:55",F,"2023-04-28 13:08:56",849995
100872,"[1009008, 1009009, 1009010, 1009011, 1009012, 1009013, 1009014, 1009015, 1009016, 1009017]","2023-04-28 14:00:23",F,"2023-04-28 13:10:23",849497
100883,"[1009118, 1009119, 1009120, 1009121, 1009122, 1009123, 1009124, 1009125, 1009126, 1009127]","2023-04-28 13:11:02",F,"2023-04-28 13:11:02",850006
100884,"[1009128, 1009129, 1009130, 1009131, 1009132, 1009133, 1009134, 1009135, 1009136, 1009137]","2023-04-28 13:11:02",F,"2023-04-28 13:11:02",850007
100898,"[1009268, 1009269, 1009270, 1009271, 1009272, 1009273, 1009274, 1009275, 1009276, 1009277]","2023-04-28 13:32:07",F,"2023-04-28 13:11:50",850007
100905,"[1009338, 1009339, 1009340, 1009341, 1009342, 1009343, 1009344, 1009345, 1009346, 1009347]","2023-04-28 14:02:18",F,"2023-04-28 13:12:18",849974
100929,"[1009578, 1009579, 1009580, 1009581, 1009582, 1009583, 1009584, 1009585, 1009586, 1009587]","2023-04-28 14:03:39",F,"2023-04-28 13:13:39",849488
